Freq_Hz,BW,EDT_s,EDT_r,T20_s,T20_r,T30_s,T30_r,Topt_s,Topt_r,ToptStart_dB,ToptEnd_dB,T60M_s,Filter,C50_dB,C80_dB,C20_dB,D50_pct,TS_s
50, 1/3,0.8464999999999998,-0.884,0.5009,-0.982,0.144,0.0,0.3214,-0.996,-5.0,-14.0,0.0, Forward,6.772,13.537,-1.643,82.28999999999999,0.09169999999999999
63, 1/3,0.6462000000000001,-0.879,0.38599999999999995,-0.991,0.0726,0.0,0.4471,-0.993,-5.0,-30.0,0.0, Forward,8.207999999999998,12.187000000000001,1.288,86.06,0.07050000000000001
80, 1/3,0.8565000000000002,-0.947,0.31300000000000006,-0.989,0.19450000000000003,0.0,0.3158,-0.999,-5.0,-16.0,0.0, Forward,2.503,8.477999999999998,-4.714,63.25,0.0803
100, 1/3,0.6685000000000001,-0.888,0.7248000000000001,-0.987,0.6113999999999999,-0.994,0.8798,-0.994,-5.0,-34.0,0.0, Forward,9.476,13.392000000000001,2.6149999999999998,88.77999999999999,0.055600000000000004
125, 1/3,0.5227,-0.988,0.46509999999999996,-0.994,0.09190000000000001,0.0,0.5511999999999999,-0.995,-5.0,-23.0,0.0, Forward,8.412,11.014999999999997,2.4010000000000002,87.32999999999998,0.04889999999999999
160, 1/3,0.4457,-0.895,0.31709999999999994,-0.953,0.3709,-0.964,0.24909999999999996,-0.995,-5.0,-13.0,0.0, Forward,9.206999999999997,16.686000000000003,-1.168,87.69,0.044399999999999995
200, 1/3,0.476,-0.975,0.476,-0.99,0.48050000000000004,-0.995,0.4805999999999999,-0.996,-5.0,-45.0,0.0, Forward,6.611,11.657,2.75,81.35,0.04089999999999999
250, 1/3,0.5205,-0.985,0.5123,-0.994,0.38700000000000007,-0.992,0.4271000000000001,-0.997,-5.0,-51.0,0.0, Forward,5.17,10.21,0.4779999999999999,72.3,0.0442
315, 1/3,0.3739,-0.955,0.4978000000000001,-0.987,0.5029,-0.99,0.5057,-0.994,-5.0,-44.0,0.0, Forward,9.000000000000002,12.674000000000001,5.179,88.31,0.027000000000000003
400, 1/3,0.42919999999999997,-0.931,0.49559999999999993,-0.986,0.4894,-0.995,0.4976,-0.998,-5.0,-51.0,0.0, Forward,8.104000000000001,11.682999999999998,3.7909999999999995,86.05,0.028099999999999997
500, 1/3,0.44430000000000014,-0.964,0.4563,-0.986,0.49750000000000005,-0.994,0.48630000000000007,-0.997,-10.0,-52.0,0.0, Forward,7.488999999999999,13.678999999999998,4.519,83.96000000000001,0.025
630, 1/3,0.4364,-0.926,0.5032,-0.995,0.5039999999999999,-0.998,0.5092,-0.998,-10.0,-39.0,0.0, Forward,7.989,11.915000000000001,2.575,85.51,0.027200000000000002
800, 1/3,0.4281,-0.931,0.5569000000000001,-0.994,0.5513,-0.996,0.5490999999999999,-0.998,-5.0,-19.0,0.0, Forward,8.782,11.601,3.6689999999999996,87.9,0.024099999999999996
1000, 1/3,0.5194,-0.978,0.5868,-0.994,0.5958,-0.996,0.5911,-0.998,-5.0,-51.0,0.0, Forward,6.648000000000001,10.347999999999999,2.1109999999999998,81.91999999999999,0.029000000000000005
1250, 1/3,0.4466,-0.978,0.5918000000000001,-0.997,0.5887999999999999,-0.998,0.6039999999999999,-0.999,-5.0,-52.0,0.0, Forward,8.983,11.967999999999998,4.348,88.54,0.020000000000000007
1600, 1/3,0.4173,-0.97,0.5503,-0.996,0.5706,-0.997,0.5736,-0.999,-5.0,-52.0,0.0, Forward,8.675999999999998,12.080000000000002,3.785,87.69000000000001,0.021999999999999995
2000, 1/3,0.42119999999999996,-0.957,0.5553,-0.998,0.5621,-0.997,0.5549,-0.999,-5.0,-53.0,0.0, Forward,9.102999999999998,12.726,4.920000000000001,88.67999999999999,0.018400000000000007
2500, 1/3,0.37960000000000005,-0.779,0.5093000000000001,-0.995,0.5272,-0.998,0.5330999999999999,-0.999,-5.0,-53.0,0.0, Forward,11.219,15.054999999999998,6.889,92.61,0.011899999999999997
3150, 1/3,0.3887,-0.813,0.4968,-0.999,0.5161,-0.999,0.5223,-0.999,-5.0,-41.0,0.0, Forward,10.671,14.854,6.469999999999999,91.93,0.0127
4000, 1/3,0.44300000000000006,-0.92,0.4957000000000001,-0.998,0.5198,-0.999,0.5045999999999999,-0.999,-5.0,-32.0,0.0, Forward,9.373000000000001,13.647,4.762,89.55000000000001,0.0165
5000, 1/3,0.3956,-0.892,0.47409999999999997,-0.999,0.4990999999999999,-1.0,0.4798000000000001,-1.0,-5.0,-36.0,0.0, Forward,10.050999999999998,14.328000000000003,4.981,90.80999999999999,0.015300000000000003
6300, 1/3,0.37379999999999997,-0.811,0.4399,-0.999,0.4579,-0.999,0.445,-0.999,-5.0,-28.0,0.0, Forward,11.331,15.439000000000002,5.907,92.69,0.012299999999999997
8000, 1/3,0.3951,-0.597,0.40379999999999994,-0.998,0.4218,-0.999,0.4234,-0.999,-5.0,-35.0,0.0, Forward,12.972,17.517,7.24,94.96,0.008800000000000002
10000, 1/3,0.3242,-0.587,0.3739,-0.997,0.3921,-0.999,0.39170000000000005,-0.999,-5.0,-43.0,0.0, Forward,15.062000000000001,19.747,8.998999999999999,96.76,0.006499999999999999
full, 1/3,0.39139999999999997,-0.897,0.4567,-0.999,0.49849999999999994,-0.998,0.45389999999999997,-0.999,-5.0,-29.0,0.0, Forward,11.943000000000001,16.081,6.865,93.77000000000001,0.0101
