RT60 data saved by REW V5.40 Beta 103
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -43.6 dBFS, measurement signal peak level -42.3 dBFS
Dated: Nov 19, 2025 1:52:35 PM
Measurement: L 3 ft. from source Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 0.0012494209 at index 47995
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.999781630745559 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.856, -0.884, 0.517, -0.982, 0.000, 0.000, 0.286, -0.996, -5.000, -14.000, 0.000, Forward, 6.06, 13.37, -2.03, 80.1, 0.093
63, 1/3, 0.600, -0.879, 0.397, -0.991, 0.000, 0.000, 0.403, -0.993, -5.000, -30.000, 0.000, Forward, 9.63, 13.85, 0.67, 90.2, 0.069
80, 1/3, 0.660, -0.947, 0.302, -0.989, 0.000, 0.000, 0.369, -0.999, -5.000, -16.000, 0.000, Forward, 5.66, 11.54, -3.80, 78.6, 0.069
100, 1/3, 0.402, -0.888, 0.441, -0.987, 0.457, -0.994, 0.461, -0.994, -5.000, -34.000, 0.000, Forward, 12.47, 15.83, 3.81, 94.6, 0.046
125, 1/3, 0.530, -0.988, 0.476, -0.994, 0.000, 0.000, 0.489, -0.995, -5.000, -23.000, 0.000, Forward, 8.98, 10.96, 1.85, 88.8, 0.049
160, 1/3, 0.479, -0.895, 0.280, -0.953, 0.393, -0.964, 0.109, -0.995, -5.000, -13.000, 0.000, Forward, 12.56, 20.32, -0.89, 94.7, 0.042
200, 1/3, 0.456, -0.975, 0.540, -0.990, 0.490, -0.995, 0.492, -0.996, -5.000, -45.000, 0.000, Forward, 5.88, 10.40, 0.71, 79.5, 0.046
250, 1/3, 0.339, -0.985, 0.434, -0.994, 0.388, -0.992, 0.389, -0.997, -5.000, -51.000, 0.000, Forward, 10.01, 13.03, 4.89, 90.9, 0.030
315, 1/3, 0.379, -0.955, 0.441, -0.987, 0.502, -0.990, 0.512, -0.994, -5.000, -44.000, 0.000, Forward, 12.53, 14.68, 4.31, 94.7, 0.025
400, 1/3, 0.655, -0.931, 0.514, -0.986, 0.504, -0.995, 0.496, -0.998, -5.000, -51.000, 0.000, Forward, 7.02, 9.42, 4.28, 83.4, 0.029
500, 1/3, 0.244, -0.964, 0.488, -0.986, 0.508, -0.994, 0.513, -0.997, -10.000, -52.000, 0.000, Forward, 11.62, 17.25, 7.53, 93.6, 0.019
630, 1/3, 0.244, -0.926, 0.509, -0.995, 0.528, -0.998, 0.546, -0.998, -10.000, -39.000, 0.000, Forward, 11.99, 15.96, 7.59, 94.1, 0.016
800, 1/3, 0.348, -0.931, 0.521, -0.994, 0.568, -0.996, 0.544, -0.998, -5.000, -19.000, 0.000, Forward, 9.47, 13.10, 6.07, 89.8, 0.020
1000, 1/3, 0.596, -0.978, 0.522, -0.994, 0.564, -0.996, 0.605, -0.998, -5.000, -51.000, 0.000, Forward, 6.10, 9.50, 2.63, 80.3, 0.027
1250, 1/3, 0.356, -0.978, 0.583, -0.997, 0.573, -0.998, 0.586, -0.999, -5.000, -52.000, 0.000, Forward, 9.57, 11.85, 3.35, 90.1, 0.021
1600, 1/3, 0.323, -0.970, 0.554, -0.996, 0.607, -0.997, 0.625, -0.999, -5.000, -52.000, 0.000, Forward, 10.45, 12.87, 4.71, 91.7, 0.017
2000, 1/3, 0.368, -0.957, 0.509, -0.998, 0.553, -0.997, 0.571, -0.999, -5.000, -53.000, 0.000, Forward, 10.42, 13.68, 5.44, 91.7, 0.015
2500, 1/3, 0.294, -0.779, 0.494, -0.995, 0.529, -0.998, 0.550, -0.999, -5.000, -53.000, 0.000, Forward, 13.64, 17.36, 8.08, 95.9, 0.008
3150, 1/3, 0.288, -0.813, 0.467, -0.999, 0.500, -0.999, 0.502, -0.999, -5.000, -41.000, 0.000, Forward, 12.17, 16.79, 8.27, 94.3, 0.009
4000, 1/3, 0.492, -0.920, 0.479, -0.998, 0.494, -0.999, 0.483, -0.999, -5.000, -32.000, 0.000, Forward, 10.47, 15.31, 6.11, 91.8, 0.013
5000, 1/3, 0.487, -0.892, 0.480, -0.999, 0.485, -1.000, 0.486, -1.000, -5.000, -36.000, 0.000, Forward, 11.40, 15.48, 6.96, 93.2, 0.011
6300, 1/3, 0.416, -0.811, 0.437, -0.999, 0.458, -0.999, 0.440, -0.999, -5.000, -28.000, 0.000, Forward, 12.72, 16.32, 7.10, 94.9, 0.009
8000, 1/3, 0.479, -0.597, 0.402, -0.998, 0.400, -0.999, 0.400, -0.999, -5.000, -35.000, 0.000, Forward, 14.44, 18.73, 8.38, 96.5, 0.006
10000, 1/3, 0.398, -0.587, 0.362, -0.997, 0.383, -0.999, 0.392, -0.999, -5.000, -43.000, 0.000, Forward, 16.51, 21.17, 9.98, 97.8, 0.005

full, 1/3, 0.449, -0.897, 0.443, -0.999, 0.477, -0.998, 0.453, -0.999, -5.000, -29.000, 0.000, Forward, 13.50, 17.38, 8.16, 95.7, 0.007

