RT60 data saved by REW V5.40 Beta 103
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -44.6 dBFS, measurement signal peak level -43.4 dBFS
Dated: Nov 19, 2025 1:55:36 PM
Measurement: L 4 ft. from source 1 ft left Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 7.6700945E-4 at index 47998
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.9999600282898197 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.718, -0.945, 0.000, 0.000, 0.000, 0.000, 0.565, -0.976, -5.000, -20.000, 0.000, Forward, 6.88, 8.90, -0.02, 83.0, 0.089
63, 1/3, 0.641, -0.885, 0.279, -0.993, 0.000, 0.000, 0.316, -0.995, -5.000, -19.000, 0.000, Forward, 7.55, 11.88, -1.09, 85.1, 0.072
80, 1/3, 0.758, -0.886, 0.272, -0.988, 0.000, 0.000, 0.348, -0.998, -5.000, -15.000, 0.000, Forward, 2.26, 10.60, -9.95, 62.7, 0.087
100, 1/3, 0.350, -0.930, 0.545, -0.985, 0.515, -0.994, 0.508, -0.994, -5.000, -36.000, 0.000, Forward, 10.70, 14.59, 3.82, 92.1, 0.046
125, 1/3, 0.521, -0.975, 0.601, -0.990, 0.000, 0.000, 0.715, -0.994, -5.000, -18.000, 0.000, Forward, 7.74, 9.71, -0.45, 85.6, 0.054
160, 1/3, 0.385, -0.975, 0.383, -0.953, 0.325, -0.983, 0.318, -0.993, -5.000, -46.000, 0.000, Forward, 11.38, 13.85, 2.33, 93.2, 0.038
200, 1/3, 0.553, -0.988, 0.420, -0.983, 0.425, -0.991, 0.430, -0.995, -5.000, -47.000, 0.000, Forward, 3.80, 9.38, -0.52, 70.6, 0.052
250, 1/3, 0.443, -0.984, 0.487, -0.972, 0.449, -0.988, 0.461, -0.994, -5.000, -46.000, 0.000, Forward, 7.38, 10.01, -0.08, 84.6, 0.042
315, 1/3, 0.468, -0.961, 0.410, -0.990, 0.477, -0.991, 0.475, -0.996, -5.000, -48.000, 0.000, Forward, 7.47, 12.20, 4.12, 84.8, 0.028
400, 1/3, 0.345, -0.979, 0.467, -0.983, 0.503, -0.992, 0.543, -0.995, -5.000, -51.000, 0.000, Forward, 9.47, 12.38, 2.85, 89.9, 0.027
500, 1/3, 0.513, -0.988, 0.432, -0.986, 0.438, -0.994, 0.463, -0.996, -5.000, -49.000, 0.000, Forward, 5.12, 10.30, 1.23, 76.5, 0.033
630, 1/3, 0.590, -0.991, 0.395, -0.973, 0.429, -0.988, 0.453, -0.994, -5.000, -49.000, 0.000, Forward, 5.73, 9.03, 1.17, 78.9, 0.034
800, 1/3, 0.766, -0.973, 0.539, -0.986, 0.503, -0.995, 0.502, -0.997, -5.000, -50.000, 0.000, Forward, 5.93, 8.15, 2.70, 79.7, 0.032
1000, 1/3, 0.397, -0.984, 0.615, -0.996, 0.579, -0.998, 0.596, -0.999, -5.000, -42.000, 0.000, Forward, 7.79, 9.80, -0.72, 85.7, 0.032
1250, 1/3, 0.442, -0.974, 0.631, -0.996, 0.622, -0.998, 0.622, -0.999, -5.000, -41.000, 0.000, Forward, 8.27, 10.20, 2.95, 87.0, 0.024
1600, 1/3, 0.489, -0.996, 0.557, -0.993, 0.549, -0.997, 0.558, -0.999, -5.000, -51.000, 0.000, Forward, 6.48, 9.78, 1.85, 81.6, 0.029
2000, 1/3, 0.539, -0.964, 0.505, -0.997, 0.533, -0.998, 0.571, -0.998, -5.000, -51.000, 0.000, Forward, 7.20, 11.35, 4.11, 84.0, 0.022
2500, 1/3, 0.520, -0.938, 0.458, -0.999, 0.493, -0.997, 0.458, -0.999, -5.000, -29.000, 0.000, Forward, 8.95, 13.12, 5.09, 88.7, 0.016
3150, 1/3, 0.454, -0.945, 0.515, -0.999, 0.526, -1.000, 0.531, -1.000, -5.000, -45.000, 0.000, Forward, 9.84, 13.74, 5.61, 90.6, 0.014
4000, 1/3, 0.478, -0.981, 0.517, -0.997, 0.509, -0.999, 0.530, -0.999, -5.000, -50.000, 0.000, Forward, 8.85, 13.16, 4.67, 88.5, 0.018
5000, 1/3, 0.409, -0.986, 0.494, -0.999, 0.499, -1.000, 0.494, -1.000, -5.000, -33.000, 0.000, Forward, 9.47, 13.52, 4.69, 89.8, 0.017
6300, 1/3, 0.490, -0.984, 0.425, -0.998, 0.448, -0.999, 0.456, -0.999, -5.000, -41.000, 0.000, Forward, 8.82, 14.23, 4.17, 88.4, 0.017
8000, 1/3, 0.443, -0.959, 0.426, -0.998, 0.438, -0.999, 0.440, -0.999, -5.000, -37.000, 0.000, Forward, 11.10, 15.91, 6.29, 92.8, 0.012
10000, 1/3, 0.407, -0.922, 0.415, -0.999, 0.412, -1.000, 0.411, -1.000, -5.000, -38.000, 0.000, Forward, 12.56, 17.10, 7.90, 94.7, 0.009

full, 1/3, 0.450, -0.994, 0.469, -1.000, 0.496, -0.999, 0.454, -1.000, -5.000, -16.000, 0.000, Forward, 10.17, 14.35, 5.54, 91.2, 0.013

