RT60 data saved by REW V5.40 Beta 103
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -43.7 dBFS, measurement signal peak level -43.7 dBFS
Dated: Nov 19, 2025 1:54:43 PM
Measurement: L 4 ft. from source 1 ft right Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 8.061578E-4 at index 47998
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.9999968779889276 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.869, -0.880, 0.504, -0.971, 0.000, 0.000, 0.263, -0.995, -5.000, -15.000, 0.000, Forward, 7.81, 15.68, -1.14, 85.8, 0.089
63, 1/3, 0.623, -0.859, 0.337, -0.986, 0.356, -0.994, 0.356, -0.994, -5.000, -35.000, 0.000, Forward, 10.33, 15.00, 1.10, 91.5, 0.068
80, 1/3, 0.701, -0.932, 0.276, -0.987, 0.351, -0.980, 0.426, -0.996, -5.000, -11.000, 0.000, Forward, 4.47, 10.39, -6.02, 73.7, 0.081
100, 1/3, 0.397, -0.903, 0.480, -0.991, 0.441, -0.990, 0.474, -0.994, -5.000, -29.000, 0.000, Forward, 10.69, 14.85, 2.03, 92.1, 0.051
125, 1/3, 0.485, -0.985, 0.546, -0.991, 0.000, 0.000, 0.577, -0.993, -5.000, -22.000, 0.000, Forward, 9.04, 11.49, 1.05, 88.9, 0.050
160, 1/3, 0.427, -0.894, 0.261, -0.985, 0.349, -0.972, 0.268, -0.991, -5.000, -29.000, 0.000, Forward, 9.41, 18.88, -2.23, 89.7, 0.045
200, 1/3, 0.516, -0.981, 0.624, -0.993, 0.556, -0.995, 0.543, -0.996, -5.000, -41.000, 0.000, Forward, 5.17, 10.20, 1.94, 76.7, 0.046
250, 1/3, 0.354, -0.975, 0.569, -0.985, 0.513, -0.994, 0.499, -0.997, -5.000, -46.000, 0.000, Forward, 8.45, 12.09, -0.27, 87.5, 0.040
315, 1/3, 0.423, -0.886, 0.515, -0.983, 0.475, -0.994, 0.493, -0.997, -5.000, -47.000, 0.000, Forward, 7.92, 11.30, 6.46, 86.1, 0.025
400, 1/3, 0.490, -0.982, 0.419, -0.990, 0.447, -0.993, 0.470, -0.997, -5.000, -51.000, 0.000, Forward, 5.30, 11.43, 1.79, 77.2, 0.035
500, 1/3, 0.398, -0.978, 0.541, -0.986, 0.555, -0.993, 0.530, -0.995, -5.000, -50.000, 0.000, Forward, 8.43, 14.54, 3.50, 87.4, 0.024
630, 1/3, 0.556, -0.977, 0.488, -0.995, 0.532, -0.995, 0.571, -0.997, -5.000, -48.000, 0.000, Forward, 6.87, 10.52, 1.47, 83.0, 0.029
800, 1/3, 0.479, -0.986, 0.627, -0.997, 0.579, -0.997, 0.564, -0.999, -5.000, -50.000, 0.000, Forward, 7.32, 10.20, 2.23, 84.4, 0.028
1000, 1/3, 0.511, -0.988, 0.591, -0.995, 0.563, -0.997, 0.569, -0.998, -5.000, -37.000, 0.000, Forward, 5.29, 9.54, -0.10, 77.2, 0.035
1250, 1/3, 0.460, -0.984, 0.597, -0.998, 0.588, -0.998, 0.594, -0.999, -5.000, -28.000, 0.000, Forward, 7.79, 10.77, 3.19, 85.7, 0.024
1600, 1/3, 0.327, -0.993, 0.563, -0.996, 0.586, -0.998, 0.608, -0.999, -5.000, -51.000, 0.000, Forward, 9.22, 12.42, 2.08, 89.3, 0.024
2000, 1/3, 0.484, -0.985, 0.553, -0.998, 0.551, -0.999, 0.558, -0.999, -5.000, -50.000, 0.000, Forward, 8.09, 11.01, 3.39, 86.6, 0.022
2500, 1/3, 0.525, -0.910, 0.539, -0.997, 0.529, -0.999, 0.525, -0.999, -5.000, -51.000, 0.000, Forward, 9.44, 14.12, 6.57, 89.8, 0.015
3150, 1/3, 0.457, -0.952, 0.477, -0.996, 0.518, -0.997, 0.550, -0.998, -5.000, -50.000, 0.000, Forward, 9.51, 15.09, 6.25, 89.9, 0.014
4000, 1/3, 0.407, -0.989, 0.478, -0.999, 0.495, -0.999, 0.484, -0.999, -5.000, -32.000, 0.000, Forward, 9.21, 13.11, 4.05, 89.3, 0.018
5000, 1/3, 0.379, -0.983, 0.440, -0.998, 0.491, -0.997, 0.513, -0.999, -5.000, -52.000, 0.000, Forward, 9.03, 13.36, 3.55, 88.9, 0.018
6300, 1/3, 0.337, -0.982, 0.410, -0.999, 0.442, -0.998, 0.400, -0.999, -5.000, -23.000, 0.000, Forward, 10.18, 14.81, 4.22, 91.3, 0.015
8000, 1/3, 0.385, -0.971, 0.381, -0.998, 0.413, -0.998, 0.421, -0.999, -5.000, -41.000, 0.000, Forward, 12.10, 16.50, 5.58, 94.2, 0.012
10000, 1/3, 0.355, -0.933, 0.356, -0.998, 0.388, -0.998, 0.360, -0.999, -5.000, -27.000, 0.000, Forward, 13.94, 18.51, 7.74, 96.1, 0.009

full, 1/3, 0.380, -0.990, 0.441, -0.999, 0.490, -0.998, 0.437, -0.999, -5.000, -24.000, 0.000, Forward, 10.97, 15.27, 5.50, 92.6, 0.013

