RT60 data saved by REW V5.40 Beta 103
Note: measurement1
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -45.1 dBFS, measurement signal peak level -42.7 dBFS
Dated: Nov 19, 2025 1:49:06 PM
Measurement: L 4 ft. from source Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 9.140639E-4 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.0000014862327593 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.829, -0.889, 0.488, -0.985, 0.000, 0.000, 0.290, -0.995, -5.000, -15.000, 0.000, Forward, 7.97, 15.42, -0.74, 86.2, 0.087
63, 1/3, 0.626, -0.868, 0.329, -0.989, 0.000, 0.000, 0.339, -0.993, -5.000, -32.000, 0.000, Forward, 9.44, 14.33, -0.23, 89.8, 0.070
80, 1/3, 0.712, -0.916, 0.280, -0.986, 0.000, 0.000, 0.380, -0.998, -5.000, -13.000, 0.000, Forward, 3.83, 10.69, -7.67, 70.7, 0.083
100, 1/3, 0.405, -0.879, 0.516, -0.985, 0.465, -0.990, 0.457, -0.993, -5.000, -42.000, 0.000, Forward, 12.33, 15.70, 2.58, 94.5, 0.048
125, 1/3, 0.453, -0.974, 0.540, -0.990, 0.000, 0.000, 0.571, -0.995, -5.000, -22.000, 0.000, Forward, 9.38, 11.39, -0.01, 89.7, 0.051
160, 1/3, 0.462, -0.901, 0.292, -0.977, 0.419, -0.973, 0.104, -0.995, -5.000, -13.000, 0.000, Forward, 12.53, 19.57, -0.96, 94.7, 0.042
200, 1/3, 0.473, -0.972, 0.493, -0.984, 0.502, -0.994, 0.492, -0.997, -5.000, -48.000, 0.000, Forward, 6.86, 13.33, 1.03, 82.9, 0.045
250, 1/3, 0.315, -0.978, 0.511, -0.936, 0.438, -0.981, 0.182, -0.998, -5.000, -11.000, 0.000, Forward, 11.60, 14.36, 2.43, 93.5, 0.033
315, 1/3, 0.433, -0.985, 0.463, -0.992, 0.480, -0.997, 0.482, -0.998, -5.000, -38.000, 0.000, Forward, 7.81, 13.26, 2.48, 85.8, 0.031
400, 1/3, 0.373, -0.994, 0.452, -0.997, 0.462, -0.997, 0.446, -0.999, -5.000, -33.000, 0.000, Forward, 9.23, 11.97, 3.23, 89.3, 0.028
500, 1/3, 0.406, -0.953, 0.451, -0.988, 0.458, -0.990, 0.463, -0.994, -5.000, -48.000, 0.000, Forward, 7.73, 12.41, 2.98, 85.6, 0.029
630, 1/3, 0.451, -0.991, 0.452, -0.997, 0.516, -0.995, 0.505, -0.998, -5.000, -47.000, 0.000, Forward, 7.06, 13.01, 1.55, 83.6, 0.029
800, 1/3, 0.357, -0.994, 0.563, -0.989, 0.536, -0.995, 0.504, -0.997, -5.000, -49.000, 0.000, Forward, 8.79, 12.18, 1.78, 88.3, 0.027
1000, 1/3, 0.387, -0.993, 0.603, -0.995, 0.576, -0.997, 0.582, -0.999, -5.000, -48.000, 0.000, Forward, 7.44, 11.79, 2.37, 84.7, 0.027
1250, 1/3, 0.286, -0.965, 0.600, -0.990, 0.580, -0.996, 0.623, -0.998, -10.000, -50.000, 0.000, Forward, 10.57, 14.29, 1.05, 91.9, 0.022
1600, 1/3, 0.444, -0.968, 0.588, -0.997, 0.575, -0.999, 0.567, -0.999, -5.000, -49.000, 0.000, Forward, 8.14, 11.89, 2.37, 86.7, 0.025
2000, 1/3, 0.344, -0.985, 0.573, -0.997, 0.547, -0.998, 0.561, -0.999, -5.000, -51.000, 0.000, Forward, 9.18, 12.99, 3.21, 89.2, 0.021
2500, 1/3, 0.402, -0.948, 0.477, -0.997, 0.499, -0.998, 0.507, -0.999, -5.000, -38.000, 0.000, Forward, 10.14, 14.39, 5.32, 91.2, 0.014
3150, 1/3, 0.456, -0.922, 0.489, -0.999, 0.506, -0.999, 0.509, -0.999, -5.000, -38.000, 0.000, Forward, 10.05, 13.52, 6.06, 91.0, 0.013
4000, 1/3, 0.431, -0.976, 0.474, -0.998, 0.522, -0.998, 0.474, -0.998, -5.000, -25.000, 0.000, Forward, 9.38, 13.05, 4.92, 89.7, 0.016
5000, 1/3, 0.417, -0.986, 0.453, -0.999, 0.481, -0.999, 0.453, -1.000, -5.000, -26.000, 0.000, Forward, 9.19, 13.55, 4.09, 89.2, 0.017
6300, 1/3, 0.448, -0.970, 0.433, -0.999, 0.467, -0.999, 0.430, -0.999, -5.000, -24.000, 0.000, Forward, 9.95, 14.26, 5.11, 90.8, 0.014
8000, 1/3, 0.389, -0.902, 0.412, -0.999, 0.429, -0.999, 0.430, -0.999, -5.000, -17.000, 0.000, Forward, 12.18, 16.55, 7.24, 94.3, 0.009
10000, 1/3, 0.357, -0.872, 0.366, -0.999, 0.394, -0.999, 0.357, -0.999, -5.000, -22.000, 0.000, Forward, 13.72, 19.04, 8.46, 95.9, 0.008

full, 1/3, 0.377, -0.986, 0.449, -0.999, 0.487, -0.998, 0.428, -0.999, -5.000, -20.000, 0.000, Forward, 11.30, 15.55, 6.01, 93.1, 0.011

