RT60 data saved by REW V5.40 Beta 103
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -49.7 dBFS, measurement signal peak level -48.2 dBFS
Dated: Nov 19, 2025 12:00:53 PM
Measurement: L Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 5.260053E-4 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.000001005898196 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.944, -0.852, 0.323, -0.991, 0.000, 0.000, 0.243, -0.994, -5.000, -14.000, 0.000, Forward, 6.29, 13.08, -2.49, 81.0, 0.093
63, 1/3, 0.833, -0.981, 0.000, 0.000, 0.000, 0.000, 0.780, -0.989, -5.000, -17.000, 0.000, Forward, 3.76, 6.23, 0.98, 70.4, 0.081
80, 1/3, 1.050, -0.916, 0.420, -0.932, 0.000, 0.000, 0.221, -0.997, -5.000, -21.000, 0.000, Forward, 0.23, 5.53, -1.86, 51.3, 0.079
100, 1/3, 0.433, -0.966, 0.482, -0.983, 0.412, -0.989, 0.417, -0.992, -5.000, -37.000, 0.000, Forward, 8.56, 12.61, 3.27, 87.8, 0.049
125, 1/3, 0.523, -0.977, 0.639, -0.988, 0.000, 0.000, 0.781, -0.997, -5.000, -17.000, 0.000, Forward, 8.58, 10.97, 5.14, 87.8, 0.046
160, 1/3, 0.462, -0.967, 0.304, -0.985, 0.350, -0.989, 0.341, -0.992, -5.000, -40.000, 0.000, Forward, 6.31, 14.98, -1.62, 81.1, 0.048
200, 1/3, 0.516, -0.958, 0.447, -0.975, 0.458, -0.987, 0.444, -0.987, -5.000, -36.000, 0.000, Forward, 6.67, 11.08, 4.39, 82.3, 0.037
250, 1/3, 0.769, -0.953, 0.520, -0.981, 0.000, 0.000, 0.414, -0.992, -5.000, -21.000, 0.000, Forward, -0.76, 6.20, -1.89, 45.7, 0.058
315, 1/3, 0.312, -0.925, 0.556, -0.981, 0.602, -0.991, 0.603, -0.992, -5.000, -40.000, 0.000, Forward, 9.53, 11.59, 7.82, 90.0, 0.025
400, 1/3, 0.390, -0.958, 0.521, -0.997, 0.490, -0.998, 0.494, -0.999, -5.000, -43.000, 0.000, Forward, 8.57, 12.43, 5.32, 87.8, 0.025
500, 1/3, 0.526, -0.944, 0.447, -0.985, 0.640, -0.974, 0.466, -0.988, -5.000, -27.000, 0.000, Forward, 5.91, 13.05, 4.39, 79.6, 0.026
630, 1/3, 0.456, -0.981, 0.482, -0.997, 0.507, -0.998, 0.477, -0.998, -5.000, -28.000, 0.000, Forward, 7.26, 10.80, 2.54, 84.2, 0.026
800, 1/3, 0.461, -0.931, 0.534, -0.990, 0.552, -0.994, 0.530, -0.995, -5.000, -33.000, 0.000, Forward, 9.09, 11.02, 5.53, 89.0, 0.020
1000, 1/3, 0.560, -0.967, 0.645, -0.999, 0.678, -0.998, 0.641, -0.999, -5.000, -26.000, 0.000, Forward, 7.64, 11.29, 3.68, 85.3, 0.024
1250, 1/3, 0.508, -0.828, 0.652, -0.997, 0.599, -0.997, 0.699, -0.999, -5.000, -20.000, 0.000, Forward, 9.53, 12.71, 6.73, 90.0, 0.016
1600, 1/3, 0.348, -0.983, 0.538, -0.994, 0.570, -0.998, 0.575, -0.998, -5.000, -37.000, 0.000, Forward, 10.05, 12.92, 4.64, 91.0, 0.019
2000, 1/3, 0.458, -0.940, 0.557, -0.999, 0.555, -0.999, 0.555, -0.999, -5.000, -35.000, 0.000, Forward, 9.52, 13.16, 5.73, 89.9, 0.016
2500, 1/3, 0.416, -0.758, 0.520, -0.999, 0.537, -0.999, 0.541, -1.000, -5.000, -41.000, 0.000, Forward, 11.56, 15.52, 7.84, 93.5, 0.010
3150, 1/3, 0.470, -0.916, 0.485, -0.998, 0.506, -0.999, 0.508, -0.999, -5.000, -43.000, 0.000, Forward, 10.68, 14.91, 6.18, 92.1, 0.013
4000, 1/3, 0.429, -0.967, 0.470, -0.998, 0.530, -0.997, 0.433, -0.999, -5.000, -18.000, 0.000, Forward, 9.93, 14.40, 4.77, 90.8, 0.015
5000, 1/3, 0.323, -0.972, 0.470, -0.999, 0.506, -0.999, 0.473, -0.999, -5.000, -26.000, 0.000, Forward, 11.12, 15.12, 5.51, 92.8, 0.013
6300, 1/3, 0.356, -0.887, 0.448, -0.998, 0.461, -0.999, 0.449, -0.999, -5.000, -32.000, 0.000, Forward, 12.19, 16.32, 6.79, 94.3, 0.010
8000, 1/3, 0.355, -0.840, 0.380, -0.998, 0.418, -0.997, 0.389, -0.998, -5.000, -29.000, 0.000, Forward, 14.31, 18.92, 8.42, 96.4, 0.007
10000, 1/3, 0.259, -0.709, 0.377, -0.996, 0.386, -0.999, 0.387, -0.999, -5.000, -36.000, 0.000, Forward, 16.13, 20.75, 10.08, 97.6, 0.005

full, 1/3, 0.384, -0.952, 0.457, -0.999, 0.502, -0.998, 0.453, -0.999, -5.000, -24.000, 0.000, Forward, 12.64, 16.68, 7.71, 94.8, 0.008

