RT60 data saved by REW V5.40 Beta 103
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -44.3 dBFS, measurement signal peak level -42.1 dBFS
Dated: Nov 19, 2025 12:07:02 PM
Measurement: L Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 0.0011046872 at index 48000
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -0.999995875010881 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.869, -0.873, 0.558, -0.973, 0.588, -0.987, 0.262, -0.995, -5.000, -14.000, 0.000, Forward, 6.01, 14.50, -2.53, 80.0, 0.094
63, 1/3, 0.611, -0.961, 0.486, -0.981, 0.000, 0.000, 0.463, -0.991, -5.000, -32.000, 0.000, Forward, 7.69, 11.84, 3.19, 85.4, 0.069
80, 1/3, 1.080, -0.911, 0.350, -0.975, 0.686, -0.953, 0.239, -0.998, -5.000, -19.000, 0.000, Forward, -0.12, 5.24, -3.17, 49.3, 0.085
100, 1/3, 0.450, -0.967, 0.442, -0.992, 0.443, -0.993, 0.417, -0.995, -5.000, -45.000, 0.000, Forward, 8.21, 12.45, 2.86, 86.9, 0.050
125, 1/3, 0.569, -0.981, 0.509, -0.995, 0.453, -0.992, 0.539, -0.995, -5.000, -21.000, 0.000, Forward, 7.90, 11.13, 4.22, 86.0, 0.047
160, 1/3, 0.476, -0.966, 0.324, -0.981, 0.365, -0.988, 0.348, -0.994, -5.000, -48.000, 0.000, Forward, 5.85, 14.99, -1.89, 79.4, 0.049
200, 1/3, 0.522, -0.962, 0.465, -0.982, 0.472, -0.993, 0.461, -0.996, -5.000, -47.000, 0.000, Forward, 6.42, 11.25, 3.90, 81.4, 0.038
250, 1/3, 0.680, -0.965, 0.529, -0.978, 0.540, -0.993, 0.517, -0.997, -5.000, -47.000, 0.000, Forward, 0.44, 7.51, -1.12, 52.5, 0.055
315, 1/3, 0.278, -0.950, 0.570, -0.990, 0.572, -0.995, 0.594, -0.997, -8.000, -43.000, 0.000, Forward, 10.01, 12.68, 7.27, 90.9, 0.024
400, 1/3, 0.356, -0.953, 0.541, -0.998, 0.483, -0.995, 0.482, -0.999, -5.000, -53.000, 0.000, Forward, 9.39, 12.91, 5.86, 89.7, 0.023
500, 1/3, 0.552, -0.903, 0.431, -0.989, 0.450, -0.996, 0.483, -0.997, -5.000, -52.000, 0.000, Forward, 6.03, 14.79, 4.90, 80.1, 0.025
630, 1/3, 0.420, -0.987, 0.541, -0.995, 0.479, -0.995, 0.506, -0.996, -5.000, -47.000, 0.000, Forward, 8.46, 11.48, 2.65, 87.5, 0.026
800, 1/3, 0.387, -0.969, 0.529, -0.994, 0.543, -0.997, 0.534, -0.997, -5.000, -34.000, 0.000, Forward, 9.37, 11.26, 3.88, 89.6, 0.022
1000, 1/3, 0.559, -0.985, 0.594, -0.997, 0.615, -0.997, 0.585, -0.998, -5.000, -48.000, 0.000, Forward, 6.61, 10.33, 2.92, 82.1, 0.029
1250, 1/3, 0.487, -0.869, 0.575, -0.998, 0.584, -0.999, 0.584, -0.999, -5.000, -39.000, 0.000, Forward, 9.38, 12.03, 6.36, 89.7, 0.016
1600, 1/3, 0.412, -0.964, 0.536, -0.999, 0.561, -0.998, 0.564, -0.999, -5.000, -40.000, 0.000, Forward, 9.35, 12.40, 4.82, 89.6, 0.020
2000, 1/3, 0.349, -0.937, 0.612, -0.997, 0.597, -0.998, 0.572, -0.999, -5.000, -53.000, 0.000, Forward, 10.35, 13.62, 6.52, 91.5, 0.015
2500, 1/3, 0.290, -0.860, 0.528, -0.996, 0.539, -0.998, 0.559, -0.999, -5.000, -52.000, 0.000, Forward, 12.11, 15.70, 7.56, 94.2, 0.010
3150, 1/3, 0.390, -0.934, 0.514, -0.999, 0.518, -1.000, 0.523, -1.000, -5.000, -41.000, 0.000, Forward, 10.69, 14.38, 5.89, 92.1, 0.013
4000, 1/3, 0.466, -0.980, 0.520, -0.998, 0.534, -0.999, 0.534, -0.999, -5.000, -39.000, 0.000, Forward, 9.04, 12.99, 4.31, 88.9, 0.017
5000, 1/3, 0.390, -0.984, 0.480, -0.999, 0.509, -0.999, 0.518, -0.999, -5.000, -39.000, 0.000, Forward, 10.02, 14.37, 4.75, 91.0, 0.016
6300, 1/3, 0.271, -0.940, 0.462, -0.996, 0.468, -0.999, 0.479, -0.999, -5.000, -43.000, 0.000, Forward, 12.78, 16.02, 6.94, 95.0, 0.010
8000, 1/3, 0.379, -0.840, 0.407, -0.998, 0.419, -0.999, 0.422, -0.999, -5.000, -42.000, 0.000, Forward, 13.33, 17.96, 7.20, 95.6, 0.008
10000, 1/3, 0.329, -0.722, 0.371, -0.996, 0.387, -0.998, 0.392, -0.999, -5.000, -41.000, 0.000, Forward, 15.96, 20.68, 9.49, 97.5, 0.005

full, 1/3, 0.360, -0.962, 0.467, -0.999, 0.502, -0.999, 0.480, -0.999, -5.000, -29.000, 0.000, Forward, 12.43, 16.42, 7.37, 94.6, 0.009

