RT60 data saved by REW V5.40 Beta 103
Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -48.6 dBFS, measurement signal peak level -48.0 dBFS
Dated: Nov 19, 2025 12:02:16 PM
Measurement: L Nov 19
Sweep level: -12.0 dBFS
Response measured over: 20.1 to 19,999.9 Hz
Peak value: 5.9145613E-4 at index 48002
Response length: 131072 samples
Sample interval: 2.0833333333333333E-5 seconds
Start time: -1.000007497941676 seconds

Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), C20 (dB), D50 (%), TS (s)

50, 1/3, 0.889, -0.876, 0.591, -0.987, 0.000, 0.000, 0.301, -0.994, -5.000, -13.000, 0.000, Forward, 5.40, 11.87, -2.79, 77.6, 0.097
63, 1/3, 0.620, -0.859, 0.354, -0.979, 0.000, 0.000, 0.186, -0.991, -5.000, -12.000, 0.000, Forward, 10.54, 12.19, 2.43, 91.9, 0.064
80, 1/3, 0.813, -0.975, 0.298, -0.992, 0.000, 0.000, 0.298, -0.992, -5.000, -25.000, 0.000, Forward, 3.48, 7.91, -4.19, 69.0, 0.073
100, 1/3, 0.387, -0.930, 0.460, -0.993, 0.473, -0.994, 0.460, -0.995, -5.000, -37.000, 0.000, Forward, 9.47, 13.52, 2.76, 89.8, 0.049
125, 1/3, 0.516, -0.989, 0.422, -0.996, 0.000, 0.000, 0.425, -0.998, -5.000, -29.000, 0.000, Forward, 8.60, 11.54, 2.88, 87.9, 0.048
160, 1/3, 0.390, -0.892, 0.264, -0.987, 0.366, -0.972, 0.275, -0.992, -5.000, -29.000, 0.000, Forward, 9.38, 17.02, -2.46, 89.7, 0.044
200, 1/3, 0.254, -0.975, 0.483, -0.994, 0.445, -0.994, 0.483, -0.994, -5.000, -25.000, 0.000, Forward, 11.12, 13.85, 7.26, 92.8, 0.030
250, 1/3, 0.614, -0.966, 0.510, -0.995, 0.000, 0.000, 0.510, -0.997, -5.000, -33.000, 0.000, Forward, 4.79, 10.59, 1.85, 75.1, 0.037
315, 1/3, 0.444, -0.968, 0.362, -0.984, 0.394, -0.990, 0.382, -0.994, -5.000, -41.000, 0.000, Forward, 7.88, 12.42, 3.80, 86.0, 0.029
400, 1/3, 0.434, -0.978, 0.494, -0.990, 0.551, -0.993, 0.535, -0.995, -5.000, -39.000, 0.000, Forward, 7.84, 10.38, 0.61, 85.9, 0.035
500, 1/3, 0.254, -0.904, 0.497, -0.987, 0.588, -0.990, 0.598, -0.994, -9.000, -45.000, 0.000, Forward, 10.43, 13.77, 8.34, 91.7, 0.017
630, 1/3, 0.306, -0.919, 0.552, -0.991, 0.534, -0.996, 0.526, -0.998, -5.000, -46.000, 0.000, Forward, 10.39, 15.09, 5.23, 91.6, 0.018
800, 1/3, 0.271, -0.935, 0.607, -0.979, 0.607, -0.993, 0.662, -0.996, -10.000, -45.000, 0.000, Forward, 11.40, 15.56, 5.55, 93.3, 0.019
1000, 1/3, 0.542, -0.960, 0.547, -0.997, 0.596, -0.995, 0.535, -0.998, -5.000, -29.000, 0.000, Forward, 8.00, 10.62, 4.21, 86.3, 0.022
1250, 1/3, 0.424, -0.941, 0.573, -0.992, 0.617, -0.995, 0.623, -0.998, -5.000, -46.000, 0.000, Forward, 9.30, 13.49, 4.87, 89.5, 0.017
1600, 1/3, 0.537, -0.930, 0.550, -0.997, 0.578, -0.998, 0.579, -0.999, -5.000, -36.000, 0.000, Forward, 7.36, 12.92, 4.85, 84.5, 0.020
2000, 1/3, 0.466, -0.963, 0.508, -0.997, 0.575, -0.996, 0.487, -0.999, -5.000, -23.000, 0.000, Forward, 8.98, 13.13, 5.11, 88.8, 0.017
2500, 1/3, 0.326, -0.750, 0.509, -0.999, 0.530, -0.999, 0.528, -0.999, -5.000, -47.000, 0.000, Forward, 12.84, 16.34, 8.49, 95.1, 0.009
3150, 1/3, 0.198, -0.832, 0.489, -0.996, 0.533, -0.997, 0.530, -0.999, -10.000, -46.000, 0.000, Forward, 12.87, 17.55, 9.31, 95.1, 0.008
4000, 1/3, 0.344, -0.936, 0.497, -0.998, 0.522, -0.999, 0.544, -0.999, -5.000, -45.000, 0.000, Forward, 10.67, 15.49, 6.87, 92.1, 0.012
5000, 1/3, 0.323, -0.925, 0.471, -0.995, 0.499, -0.998, 0.408, -0.999, -5.000, -19.000, 0.000, Forward, 11.83, 16.61, 7.05, 93.8, 0.010
6300, 1/3, 0.385, -0.893, 0.392, -0.996, 0.439, -0.996, 0.360, -0.997, -5.000, -21.000, 0.000, Forward, 12.62, 17.80, 6.32, 94.8, 0.010
8000, 1/3, 0.371, -0.690, 0.390, -0.997, 0.425, -0.998, 0.451, -0.998, -5.000, -48.000, 0.000, Forward, 15.17, 19.79, 8.62, 97.0, 0.006
10000, 1/3, 0.194, -0.716, 0.349, -0.994, 0.387, -0.997, 0.422, -0.998, -5.000, -49.000, 0.000, Forward, 17.27, 21.95, 10.33, 98.2, 0.004

full, 1/3, 0.371, -0.912, 0.438, -0.997, 0.523, -0.994, 0.407, -0.998, -5.000, -21.000, 0.000, Forward, 13.72, 18.26, 8.46, 95.9, 0.007

